Orientation: O[row][col]

Sp_ID O[0][0] O[0][1] O[0][2] O[1][0] O[1][1] O[1][2] O[2][0] O[2][1] O[2][2] X Y Z a b c alpha beta gamma Err1 Err2 Err3 MeanRadius Confidence 
6206 -0.237853 -0.211592 -0.947974 -0.910050 0.389647 0.141367 0.339463 0.896328 -0.285238 332.207608 -240.729440 1.516762 3.615827 3.616652 3.614835 89.984472 90.037866 90.010369 52.751800 0.057268 0.055342 251.800853 1.000000 
6207 -0.161608 -0.030061 -0.986397 -0.518723 0.852905 0.058993 0.839529 0.521200 -0.153430 267.429277 -320.081062 47.959381 3.606368 3.625845 3.618413 90.252568 89.732205 90.103980 149.109597 0.206272 0.194676 137.516304 0.750000 
6219 0.038701 -0.386554 0.921454 0.394376 0.853196 0.341356 -0.918134 0.350189 0.185467 -35.877175 246.081736 19.844678 3.613581 3.613333 3.614046 90.099634 90.034383 90.011703 26.729503 0.031866 0.031389 105.066375 0.916667 
6221 -0.259237 0.941475 -0.215455 -0.961744 -0.231181 0.146983 0.088572 0.245316 0.965388 108.760437 207.687749 184.385676 3.611720 3.608133 3.604313 89.808351 90.262850 90.122441 118.014883 0.623363 0.243716 59.922198 0.750000 
6228 -0.189002 0.900609 0.391385 -0.637206 0.190778 -0.746707 -0.747159 -0.390523 0.537816 203.217656 -171.179797 12.258107 3.616125 3.616499 3.618653 90.046505 89.976655 90.006249 36.803713 0.020565 0.021758 93.164743 0.750000 
6234 -0.103289 0.045324 -0.993618 -0.224077 0.972221 0.067642 0.969082 0.229634 -0.090264 462.527360 -201.374830 12.284020 3.619216 3.614659 3.614589 90.191167 90.023071 90.089070 80.957775 0.057680 0.060717 172.323320 0.833333 
6237 0.163090 -0.781131 0.602691 0.952590 -0.034363 -0.302311 0.256855 0.623421 0.738493 -17.933870 -5.184919 22.910081 3.614743 3.615592 3.613771 89.997993 90.028307 90.024436 59.290061 0.077657 0.057164 172.311184 0.750000 
6239 -0.266464 0.360887 -0.893732 -0.960661 -0.174743 0.215858 -0.078273 0.916092 0.393253 43.458314 -77.050512 -10.357378 3.618408 3.617094 3.617128 90.014211 90.009821 89.965598 53.566595 0.047741 0.050463 88.676878 0.833333 
6254 0.164299 -0.775017 0.610208 0.924949 -0.093904 -0.368308 0.342746 0.624924 0.701423 163.099446 -32.072304 25.613625 3.613861 3.612088 3.613427 89.976311 90.071315 89.979618 20.241463 0.040135 0.033407 153.862993 1.000000 
6257 0.180078 -0.906219 0.382543 0.958186 0.073686 -0.276497 0.222378 0.416339 0.881595 -50.501218 471.992103 32.412475 3.610492 3.616199 3.616659 90.010164 90.012901 89.967420 52.554296 0.046885 0.041721 150.011490 0.833333 
6258 0.181598 -0.162994 0.969771 0.983344 0.037699 -0.177804 -0.007579 0.985907 0.167125 254.993419 76.827141 17.883696 3.616113 3.615495 3.613324 90.030573 90.020717 90.029072 74.616155 0.022245 0.036608 138.060478 0.750000 
6262 0.167235 0.047707 0.984762 0.913213 0.368954 -0.172959 -0.371583 0.928223 0.018135 157.038624 -468.061174 -25.689128 3.613539 3.613286 3.612810 89.987647 90.090814 89.952299 76.286495 0.030830 0.045408 243.011264 0.833333 
6276 -0.237620 -0.216592 -0.946903 -0.770656 0.635438 0.048044 0.591292 0.741152 -0.317910 425.567661 -409.983915 7.895743 3.614142 3.613304 3.612876 89.939578 90.093868 89.995909 145.562146 0.065955 0.062420 254.563990 1.000000 
6284 0.081149 -0.995492 0.049090 0.550129 0.003665 -0.835072 0.831128 0.094771 0.547946 -207.066111 369.108429 2.059206 3.616492 3.617569 3.620439 90.070600 90.013680 89.984111 45.982303 0.030979 0.026225 116.790872 0.916667 
6285 0.183256 -0.906038 0.381462 0.958043 0.077607 -0.275918 0.220388 0.416020 0.882245 -202.138556 215.816838 60.477730 3.625751 3.622578 3.616468 89.888098 90.063301 89.909077 123.625617 0.147172 0.102308 127.951321 0.750000 
6295 0.147204 -0.080502 0.985825 0.783344 0.618021 -0.066502 -0.603906 0.782029 0.154036 305.930413 -85.061483 -2.387645 3.615846 3.615971 3.614957 90.032956 89.974641 90.002389 38.702252 0.020038 0.019147 139.280674 0.750000 
6296 0.083203 0.845648 0.527217 0.521091 0.414039 -0.746348 -0.849436 0.336826 -0.406210 -327.151523 125.015726 1.649892 3.617027 3.616652 3.616436 89.953928 90.012078 90.017642 19.976087 0.040313 0.031148 130.603331 0.916667 
6300 0.175666 -0.436157 0.882558 0.891613 0.450538 0.045186 -0.417334 0.778962 0.468028 -356.954066 -207.246877 15.959855 3.613124 3.614990 3.615248 90.040511 90.045748 90.010614 25.519701 0.032715 0.026194 169.019811 0.916667 
6302 -0.293485 0.888988 -0.351520 -0.955964 -0.272881 0.108025 0.000110 0.367744 0.929927 30.079142 197.783864 16.433670 3.613069 3.615014 3.614331 90.014103 89.982345 90.088885 25.215669 0.039244 0.028162 140.831091 0.833333 
6307 -0.243638 -0.022247 -0.969611 -0.766205 0.617346 0.178363 0.594618 0.786377 -0.167455 326.893564 420.811829 28.316106 3.614747 3.614467 3.613028 90.016069 89.965099 89.970232 43.078472 0.057080 0.046385 181.613328 1.000000 
6314 -0.288673 0.645053 -0.707513 -0.916251 -0.400511 0.008686 -0.277763 0.650767 0.706647 120.415652 48.660657 5.104919 3.615965 3.614730 3.616302 90.008944 89.983809 90.063927 52.151262 0.064191 0.053293 171.149202 0.833333 
6322 -0.259904 0.964127 0.053942 -0.789112 -0.179864 -0.587326 -0.556554 -0.195214 0.807551 212.775400 -93.512344 20.337802 3.613413 3.614123 3.615128 90.034965 89.976860 90.006012 14.528713 0.042244 0.029304 227.899026 0.833333 
6326 -0.303706 0.566218 -0.766264 -0.943972 -0.287839 0.161446 -0.129147 0.772364 0.621912 -15.950901 181.335871 -0.626617 3.611895 3.615640 3.614299 89.988027 90.104531 89.965416 28.532348 0.063147 0.056034 93.107592 1.000000 
6327 -0.305921 0.202577 -0.930255 -0.952050 -0.061425 0.299712 0.003574 0.977338 0.211655 -124.412038 -237.622846 -5.729620 3.616202 3.617345 3.619050 90.018001 90.053076 90.025187 51.785977 0.049065 0.042471 127.158078 0.916667 
6336 0.168185 -0.356204 0.919148 0.799556 0.594667 0.084154 -0.576563 0.720756 0.384819 -72.730110 371.163251 28.388181 3.611612 3.615640 3.616857 89.983695 90.029037 90.044989 57.581887 0.038703 0.038935 75.360779 0.833333 
6357 0.221204 -0.963630 0.149951 0.966840 0.196570 -0.163038 0.127632 0.181043 0.975158 282.116782 -191.467865 78.949013 3.611347 3.614812 3.613863 89.971574 90.011896 90.051523 100.160917 0.172171 0.072852 84.180378 0.833333 
6359 0.145002 -0.238829 0.960174 0.683740 0.725627 0.077233 -0.715174 0.645310 0.268514 354.791251 -227.377701 -23.242068 3.614290 3.615977 3.604155 90.153869 90.269999 89.920976 83.944092 0.139619 0.133294 62.454210 0.750000 
6367 0.225598 -0.689530 0.688226 0.956555 0.290698 -0.022307 -0.184685 0.663358 0.725154 150.350319 449.243571 121.816625 3.606402 3.613183 3.609864 90.125557 89.913634 90.224396 149.339802 0.256237 0.219002 86.350846 0.750000 
6378 -0.327232 0.153891 -0.932329 -0.930169 0.121334 0.346502 0.166447 0.980610 0.103440 -139.208324 -158.014098 9.037289 3.617840 3.617059 3.613176 90.015104 90.025896 90.007377 27.474827 0.023013 0.024612 114.205488 0.750000 
